Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
North Carolina 1,5,ACC,29-5,.9427,116.5,12,88.6,12,72.2,9,+.014,138,.6848,28,105.4,34,97.7,30,.5787,86,1,1,1,0,0,0
Vermont 16,109,AE,24-11,.6507,103.6,125,97.5,101,63.3,293,-.029,242,.3605,296,97.2,320,102.8,232,.5002,179,0,0,0,0,0,0
Creighton 8,36,MVC,28-5,.8336,119.0,5,101.7,180,67.0,122,+.074,21,.5718,105,102.5,106,99.7,106,.4806,194,1,0,0,0,0,0
Alabama 9,29,SEC,21-11,.8533,104.4,112,87.9,9,63.4,288,-.051,288,.6796,31,105.8,23,98.3,54,.6167,50,0,0,0,0,0,0
Temple 5,38,A10,24-7,.8294,113.4,21,97.2,92,66.9,126,+.045,70,.6665,42,105.4,32,98.6,60,.6820,19,0,0,0,0,0,0
South Florida 12,53,BE,21-13,.7889,101.2,165,89.0,16,59.8,342,+.051,56,.7114,16,105.9,18,97.0,13,.5907,74,1,0,0,0,0,0
Michigan 4,25,B10,24-9,.8728,113.4,20,94.0,48,61.4,326,+.070,27,.7618,1,107.8,2,96.3,4,.4897,187,0,0,0,0,0,0
Ohio 13,71,MAC,27-7,.7464,104.2,117,93.8,45,67.2,116,+.021,117,.4638,191,101.0,174,102.4,204,.4088,275,1,1,0,0,0,0
San Diego St. 6,55,MWC,26-7,.7848,106.1,89,93.5,42,66.7,138,+.057,45,.5822,95,103.0,89,99.7,109,.4086,276,0,0,0,0,0,0
Georgetown 3,12,BE,23-8,.9126,109.7,47,87.3,7,63.3,294,+.001,172,.7022,23,105.6,28,97.1,16,.5267,133,1,0,0,0,0,0
Belmont 14,23,ASun,27-7,.8748,116.3,13,96.2,79,68.4,67,-.018,215,.4821,167,101.4,151,102.1,193,.6114,57,0,0,0,0,0,0
Purdue 10,24,B10,21-12,.8739,117.4,6,97.2,93,65.5,203,-.000,174,.7169,14,107.0,7,97.7,31,.4392,234,1,0,0,0,0,0
Kansas 2,4,B12,27-6,.9506,117.0,9,87.7,8,67.7,95,+.010,150,.7337,6,105.8,22,95.8,1,.6220,47,1,1,1,1,1,0
