,Rank,Name+Seed,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2
1,2,Villanova 1,BE,32-4,+29.88,122.4,3,92.5,12,64.1,324,+.010,166,+9.33,33,109.8,38,100.5,32,+3.55,61
208,209,Mount St. Mary's 16,NEC,20-16,-3.86,99.5,269,103.4,151,66.8,245,+.074,20,-4.49,266,102.0,277,106.5,236,+11.52,6
20,21,Wisconsin 8,B10,27-10,+22.99,115.1,33,92.1,9,63.4,334,-.003,193,+10.00,29,110.6,22,100.6,38,-1.29,193
49,50,Virginia Tech 9,ACC,22-11,+13.80,117.3,21,103.5,156,68.4,167,+.053,51,+8.23,47,110.0,36,101.7,65,-7.98,342
11,12,Virginia 5,ACC,23-11,+24.29,112.2,50,88.0,2,59.2,351,-.030,258,+11.68,10,111.5,8,99.8,22,+2.29,82
58,59,UNC Wilmington 12,CAA,29-6,+12.46,118.0,19,105.5,193,70.3,67,+.039,76,+0.40,128,105.1,123,104.7,139,+2.17,87
4,5,Florida 4,SEC,27-9,+27.50,116.9,25,89.5,5,69.0,117,-.041,286,+12.46,7,110.3,28,97.8,2,+8.19,15
66,67,East Tennessee St. 13,SC,27-8,+11.10,108.0,106,96.9,48,70.1,74,+.005,179,-1.17,163,105.4,106,106.6,240,+0.38,143
10,11,SMU 6,Amer,30-5,+24.73,119.8,10,95.0,27,63.5,333,+.003,183,+3.25,88,105.3,117,102.1,70,-0.92,179
52,53,USC 11,P12,26-10,+13.45,114.2,38,100.7,91,68.7,138,+.079,16,+5.49,71,108.8,54,103.3,106,-3.37,255
12,13,Baylor 3,B12,27-8,+24.23,117.1,23,92.9,16,63.7,328,+.023,126,+13.08,5,111.7,6,98.6,6,+1.67,110
83,84,New Mexico St. 14,WAC,28-6,+7.89,110.5,70,102.6,124,67.9,195,+.063,35,-4.52,267,101.0,307,105.6,174,-4.82,295
23,24,South Carolina 7,SEC,26-11,+20.80,108.9,91,88.1,3,68.6,145,-.005,197,+10.63,24,110.2,31,99.5,17,+1.93,96
31,32,Marquette 10,BE,19-13,+16.58,120.8,8,104.2,165,70.1,75,-.058,311,+9.03,37,109.1,50,100.1,27,-2.16,219
13,14,Duke 2,ACC,28-9,+24.17,121.0,6,96.8,47,68.3,175,+.014,150,+11.43,12,111.0,13,99.6,21,+0.03,153
136,137,Troy 15,SB,22-15,+2.04,109.7,79,107.6,232,68.1,182,-.023,246,-2.86,219,102.4,263,105.3,161,-6.78,334
1,2,Villanova 1,BE,32-4,+29.88,122.4,3,92.5,12,64.1,324,+.010,166,+9.33,33,109.8,38,100.5,32,+3.55,61
20,21,Wisconsin 8,B10,27-10,+22.99,115.1,33,92.1,9,63.4,334,-.003,193,+10.00,29,110.6,22,100.6,38,-1.29,193
11,12,Virginia 5,ACC,23-11,+24.29,112.2,50,88.0,2,59.2,351,-.030,258,+11.68,10,111.5,8,99.8,22,+2.29,82
4,5,Florida 4,SEC,27-9,+27.50,116.9,25,89.5,5,69.0,117,-.041,286,+12.46,7,110.3,28,97.8,2,+8.19,15
52,53,USC 11,P12,26-10,+13.45,114.2,38,100.7,91,68.7,138,+.079,16,+5.49,71,108.8,54,103.3,106,-3.37,255
12,13,Baylor 3,B12,27-8,+24.23,117.1,23,92.9,16,63.7,328,+.023,126,+13.08,5,111.7,6,98.6,6,+1.67,110
23,24,South Carolina 7,SEC,26-11,+20.80,108.9,91,88.1,3,68.6,145,-.005,197,+10.63,24,110.2,31,99.5,17,+1.93,96
13,14,Duke 2,ACC,28-9,+24.17,121.0,6,96.8,47,68.3,175,+.014,150,+11.43,12,111.0,13,99.6,21,+0.03,153
20,21,Wisconsin 8,B10,27-10,+22.99,115.1,33,92.1,9,63.4,334,-.003,193,+10.00,29,110.6,22,100.6,38,-1.29,193
4,5,Florida 4,SEC,27-9,+27.50,116.9,25,89.5,5,69.0,117,-.041,286,+12.46,7,110.3,28,97.8,2,+8.19,15
12,13,Baylor 3,B12,27-8,+24.23,117.1,23,92.9,16,63.7,328,+.023,126,+13.08,5,111.7,6,98.6,6,+1.67,110
23,24,South Carolina 7,SEC,26-11,+20.80,108.9,91,88.1,3,68.6,145,-.005,197,+10.63,24,110.2,31,99.5,17,+1.93,96
4,5,Florida 4,SEC,27-9,+27.50,116.9,25,89.5,5,69.0,117,-.041,286,+12.46,7,110.3,28,97.8,2,+8.19,15
23,24,South Carolina 7,SEC,26-11,+20.80,108.9,91,88.1,3,68.6,145,-.005,197,+10.63,24,110.2,31,99.5,17,+1.93,96
23,24,South Carolina 7,SEC,26-11,+20.80,108.9,91,88.1,3,68.6,145,-.005,197,+10.63,24,110.2,31,99.5,17,+1.93,96
5,6,Kansas 1,B12,31-5,+27.45,121.9,5,94.5,24,70.2,72,+.067,32,+12.43,8,111.2,10,98.8,8,+2.39,80
217,218,UC Davis 16,BW,23-13,-4.41,97.8,293,102.2,115,68.9,125,+.131,1,-5.31,288,100.8,313,106.1,215,-0.94,181
41,42,Miami FL 8,ACC,21-12,+15.03,109.9,76,94.9,25,63.0,339,+.031,98,+9.39,32,110.7,18,101.3,58,-4.48,286
39,40,Michigan St. 9,B10,20-15,+15.51,111.4,58,95.9,37,66.9,241,-.011,214,+10.99,18,110.6,21,99.6,20,+4.01,51
16,17,Iowa St. 5,B12,24-11,+23.45,119.7,11,96.3,42,68.4,170,-.019,234,+14.05,3,112.6,2,98.6,5,-0.74,175
53,54,Nevada 12,MWC,28-7,+13.31,114.6,36,101.3,101,69.7,90,+.055,45,+1.29,105,104.5,155,103.2,104,-1.12,189
18,19,Purdue 4,B10,27-8,+23.12,117.0,24,93.9,23,69.1,113,+.016,142,+9.00,38,109.6,39,100.6,42,-2.38,224
62,63,Vermont 13,AE,29-6,+11.67,111.1,62,99.4,73,64.5,315,+.053,53,-4.42,263,103.0,234,107.4,282,+1.65,112
27,28,Creighton 6,BE,25-10,+18.83,115.3,32,96.5,46,71.2,45,+.004,181,+8.97,39,110.3,27,101.3,57,-1.24,192
33,34,Rhode Island 11,A10,25-10,+16.26,111.5,57,95.2,30,66.4,262,-.033,267,+4.27,78,106.8,79,102.5,79,+1.62,113
9,10,Oregon 3,P12,33-6,+25.02,118.2,17,93.2,17,67.0,234,+.034,88,+8.05,50,109.2,47,101.2,51,+0.51,137
116,117,Iona 14,MAAC,22-13,+4.20,110.8,67,106.6,211,70.6,60,+.013,158,-1.94,191,103.7,193,105.7,179,-0.05,157
19,20,Michigan 7,B10,26-12,+23.05,122.3,4,99.2,69,63.1,338,-.025,252,+10.76,23,110.3,26,99.5,18,-0.53,170
21,22,Oklahoma St. 10,B12,20-13,+22.48,126.0,1,103.5,155,70.4,66,-.071,324,+14.42,1,112.0,5,97.6,1,+3.07,67
8,9,Louisville 2,ACC,25-9,+25.51,117.2,22,91.7,8,67.9,194,-.023,244,+11.14,17,111.6,7,100.5,33,+4.20,48
156,157,Jacksonville St. 15,OVC,20-15,+0.63,105.8,147,105.2,186,63.6,329,+.028,107,-1.68,183,104.2,167,105.9,197,+0.61,134
